date,visitors,arrived,leftOfTimeout,leftBeforeTimeout,courseParticipants,courseName,courseStatus
2025-11-12T20:37:50,13,1,0,0,,,
2025-11-12T20:46:26,13,0,0,0,,,
2025-11-12T20:54:37,13,0,0,0,,,
2025-11-12T21:07:16,14,1,0,0,,,
2025-11-12T21:21:07,15,1,0,0,,,
2025-11-12T21:38:09,10,0,3,2,,,
2025-11-12T21:47:04,11,5,4,0,,,
2025-11-12T21:55:04,11,0,0,0,,,
2025-11-12T22:05:56,9,0,2,0,,,
2025-11-12T22:18:50,9,0,0,0,,,
2025-11-12T22:30:30,9,1,1,0,,,
2025-11-12T22:43:10,8,0,1,0,,,
2025-11-12T23:06:18,6,0,0,2,,,
2025-11-12T23:19:17,6,0,0,0,,,
2025-11-12T23:31:15,3,0,0,3,,,
2025-11-12T23:44:18,3,0,0,0,,,
2025-11-12T23:53:48,0,0,2,1,,,
2025-11-13T00:06:20,0,0,0,0,,,
2025-11-13T00:19:25,0,0,0,0,,,
2025-11-13T00:30:44,0,0,0,0,,,
2025-11-13T00:44:30,0,0,0,0,,,
2025-11-13T00:53:49,0,0,0,0,,,
2025-11-13T01:25:28,0,0,0,0,,,
2025-11-13T01:50:35,0,0,0,0,,,
2025-11-13T02:34:36,0,0,0,0,,,
2025-11-13T03:19:32,0,0,0,0,,,
2025-11-13T03:55:56,0,0,0,0,,,
2025-11-13T04:28:50,0,0,0,0,,,
2025-11-13T04:51:04,0,0,0,0,,,
2025-11-13T05:10:08,0,0,0,0,,,
2025-11-13T05:25:02,0,0,0,0,,,
2025-11-13T05:40:18,0,0,0,0,,,
2025-11-13T05:54:17,0,0,0,0,,,
2025-11-13T06:06:54,1,1,0,0,,,
2025-11-13T06:20:24,2,1,0,0,,,
2025-11-13T06:37:57,2,0,0,0,,,
2025-11-13T06:48:05,3,1,0,0,,,
2025-11-13T06:56:35,4,1,0,0,,,
2025-11-13T07:12:56,4,0,0,0,,,
2025-11-13T07:32:33,4,0,0,0,,,
2025-11-13T07:49:27,5,1,0,0,,,
2025-11-13T07:59:02,5,0,0,0,,,
2025-11-13T08:10:49,4,0,1,0,,,
2025-11-13T08:28:30,3,0,1,0,,,
2025-11-13T08:38:26,2,0,0,1,,,
2025-11-13T08:46:58,2,0,0,0,,,
2025-11-13T08:55:06,2,0,0,0,,,
2025-11-13T09:08:24,1,0,1,0,,,
2025-11-13T09:23:14,1,0,0,0,,,
2025-11-13T09:41:04,3,2,0,0,,,
2025-11-13T09:56:13,6,4,1,0,,,
2025-11-13T10:09:56,6,0,0,0,2,CUISSES ABDOS FESSIERS,PLANNED
2025-11-13T10:24:33,6,0,0,0,2,CUISSES ABDOS FESSIERS,PLANNED
2025-11-13T10:37:40,6,0,0,0,2,CUISSES ABDOS FESSIERS,PLANNED
2025-11-13T10:47:33,7,1,0,0,5,AÉRO,PLANNED
2025-11-13T10:55:40,9,2,0,0,5,AÉRO,PLANNED
2025-11-13T11:08:07,9,0,0,0,5,AÉRO,PLANNED
2025-11-13T11:22:16,9,0,0,0,5,AÉRO,PLANNED
2025-11-13T11:39:59,12,3,0,0,,,
2025-11-13T11:50:57,9,0,2,1,,,
2025-11-13T12:05:46,11,5,3,0,,,
2025-11-13T12:18:47,14,3,0,0,,,
2025-11-13T12:29:42,22,8,0,0,,,
2025-11-13T12:39:45,25,3,0,0,5,YAKO CROSS TRAINING,PLANNED
2025-11-13T12:48:39,25,1,1,0,5,YAKO CROSS TRAINING,PLANNED
2025-11-13T12:56:51,26,3,2,0,5,YAKO CROSS TRAINING,PLANNED
2025-11-13T13:15:01,25,0,0,1,,,
2025-11-13T13:34:04,25,0,0,0,,,
2025-11-13T13:59:39,27,4,2,0,,,
2025-11-13T14:19:23,22,3,8,0,,,
2025-11-13T14:37:36,16,2,8,0,,,
2025-11-13T14:50:53,16,4,4,0,,,
2025-11-13T15:06:58,18,5,3,0,4,YAKO PILATES,PLANNED
2025-11-13T15:20:19,18,0,0,0,4,YAKO PILATES,PLANNED
2025-11-13T15:36:37,16,0,0,2,1,YAKO DÉTENTE,PLANNED
2025-11-13T15:46:04,17,1,0,0,1,YAKO DÉTENTE,PLANNED
2025-11-13T15:54:50,15,0,0,2,1,YAKO DÉTENTE,PLANNED
2025-11-13T16:07:57,16,1,0,0,,,
2025-11-13T16:21:48,17,4,3,0,,,
2025-11-13T16:36:49,19,2,0,0,,,
2025-11-13T16:46:41,19,2,2,0,,,
2025-11-13T16:54:43,17,2,4,0,,,
2025-11-13T17:07:47,17,5,5,0,,,
2025-11-13T17:22:15,19,2,0,0,,,
2025-11-13T17:40:51,25,6,0,0,,,
2025-11-13T17:56:25,35,11,1,0,,,
2025-11-13T18:09:00,43,9,1,0,10,YAKO UP,PLANNED
2025-11-13T18:22:58,52,13,4,0,10,YAKO UP,PLANNED
2025-11-13T18:37:32,50,0,2,0,17,YAKO PILATES,PLANNED
2025-11-13T18:47:55,48,0,2,0,17,YAKO PILATES,PLANNED
2025-11-13T18:56:28,52,6,2,0,17,YAKO PILATES,PLANNED
2025-11-13T19:11:40,56,9,5,0,12,YAKO BAILA,PLANNED
2025-11-13T19:32:17,52,0,2,2,12,YAKO BAILA,PLANNED
2025-11-13T19:48:40,49,1,4,0,6,ABDOS FESSIERS,PLANNED
2025-11-13T19:58:08,51,13,11,0,6,ABDOS FESSIERS,PLANNED
2025-11-13T20:08:59,35,0,0,16,6,ABDOS FESSIERS,PLANNED
2025-11-13T20:21:45,29,0,0,6,,,
2025-11-13T20:34:14,20,0,0,9,,,
2025-11-13T20:43:33,20,0,0,0,,,
2025-11-13T20:53:50,20,0,0,0,,,
2025-11-13T21:07:23,13,0,0,7,,,
2025-11-13T21:21:17,11,0,0,2,,,
2025-11-13T21:37:48,8,0,0,3,,,
2025-11-13T21:47:50,4,0,0,4,,,
2025-11-13T21:56:37,4,0,0,0,,,
2025-11-13T22:08:35,3,3,4,0,,,
2025-11-13T22:22:03,1,0,0,2,,,
2025-11-13T22:34:05,1,0,0,0,,,
2025-11-13T22:43:18,1,0,0,0,,,
2025-11-13T22:53:48,1,0,0,0,,,
2025-11-13T23:06:48,1,0,0,0,,,
2025-11-13T23:20:10,1,0,0,0,,,
2025-11-13T23:33:06,1,0,0,0,,,
2025-11-13T23:44:26,1,0,0,0,,,
2025-11-13T23:53:20,1,0,0,0,,,
2025-11-14T00:06:41,0,0,0,1,,,
2025-11-14T00:19:33,0,0,0,0,,,
2025-11-14T00:30:51,0,0,0,0,,,
2025-11-14T00:43:58,0,0,0,0,,,
2025-11-14T00:53:07,0,0,0,0,,,
2025-11-14T01:25:55,0,0,0,0,,,
2025-11-14T01:50:52,0,0,0,0,,,
2025-11-14T02:34:23,0,0,0,0,,,
2025-11-14T03:18:38,0,0,0,0,,,
2025-11-14T03:54:24,0,0,0,0,,,
2025-11-14T04:26:39,0,0,0,0,,,
2025-11-14T04:48:24,0,0,0,0,,,
2025-11-14T05:00:45,0,0,0,0,,,
2025-11-14T05:19:10,0,0,0,0,,,
2025-11-14T05:34:43,0,0,0,0,,,
2025-11-14T05:46:25,0,0,0,0,,,
2025-11-14T05:54:54,0,0,0,0,,,
2025-11-14T06:06:44,1,1,0,0,,,
2025-11-14T06:19:58,1,0,0,0,,,
2025-11-14T06:33:09,1,0,0,0,,,
2025-11-14T06:45:27,1,0,0,0,,,
2025-11-14T07:09:37,3,2,0,0,,,
2025-11-14T07:25:14,3,0,0,0,,,
2025-11-14T07:43:35,3,0,0,0,,,
2025-11-14T07:56:09,4,1,0,0,,,
2025-11-14T08:08:33,3,0,1,0,,,
2025-11-14T08:22:17,3,0,0,0,,,
2025-11-14T08:35:29,3,0,0,0,,,
2025-11-14T08:44:30,3,0,0,0,,,
2025-11-14T08:53:42,4,1,0,0,,,
2025-11-14T09:08:35,3,0,0,1,,,
2025-11-14T09:23:18,2,0,1,0,,,
2025-11-14T09:40:19,4,2,0,0,,,
2025-11-14T09:55:18,4,0,0,0,,,
2025-11-14T10:07:12,7,4,1,0,3,YAKO CROSS TRAINING,PLANNED
2025-11-14T10:20:57,9,2,0,0,3,YAKO CROSS TRAINING,PLANNED
2025-11-14T10:37:15,9,0,0,0,3,YAKO CROSS TRAINING,PLANNED
2025-11-14T10:47:30,11,2,0,0,4,ABDOS FESSIERS,PLANNED
2025-11-14T10:55:47,12,2,1,0,4,ABDOS FESSIERS,PLANNED
2025-11-14T11:08:35,11,0,0,1,4,ABDOS FESSIERS,PLANNED
2025-11-14T11:22:39,13,2,0,0,2,YAKO DÉTENTE,PLANNED
2025-11-14T11:39:00,13,0,0,0,2,YAKO DÉTENTE,PLANNED
2025-11-14T11:49:00,13,1,1,0,,,
2025-11-14T11:57:03,14,1,0,0,,,
2025-11-14T12:08:02,14,4,4,0,,,
2025-11-14T12:21:20,15,3,2,0,,,
2025-11-14T12:34:59,22,7,0,0,3,YAKO TRAINING,PLANNED
